250,pink,Pink,#ffc0cb,255,192,203
251,pink_lace,Pink Lace,#ffddf4,255,221,244
252,pink_orange,Pink-Orange,#f96,255,153,102
253,pink_pearl,Pink Pearl,#e7accf,231,172,207
254,pink_sherbet,Pink Sherbet,#f78fa7,247,143,167
255,portland_orange,Portland Orange,#ff5a36,255,90,54
256,powder_blue_web,Powder Blue (Web),#b0e0e6,176,224,230
257,princeton_orange,Princeton Orange,#ff8f00,255,143,0
258,prussian_blue,Prussian Blue,#003153,0,49,83
259,psychedelic_purple,Psychedelic Purple,#df00ff,223,0,255
260,purple_heart,Purple Heart,#69359c,105,53,156
261,purple_html_css,Purple (Html/Css),#800080,128,0,128
262,purple_mountain_majesty,Purple Mountain Majesty,#9678b6,150,120,182
263,purple_munsell,Purple (Munsell),#9f00c5,159,0,197
264,purple_pizzazz,Purple Pizzazz,#fe4eda,254,78,218
265,purple_taupe,Purple Taupe,#50404d,80,64,77
266,purple_x11,Purple (X11),#a020f0,160,32,240
267,radical_red,Radical Red,#ff355e,255,53,94
268,raspberry_pink,Raspberry Pink,#e25098,226,80,152
269,red,Red,#f00,255,0,0
270,red_brown,Red-Brown,#a52a2a,165,42,42
271,red_devil,Red Devil,#860111,134,1,17
272,red_munsell,Red (Munsell),#f2003c,242,0,60
273,red_ncs,Red (Ncs),#c40233,196,2,51
274,red_orange,Red-Orange,#ff5349,255,83,73
275,red_pigment,Red (Pigment),#ed1c24,237,28,36
276,red_ryb,Red (Ryb),#fe2712,254,39,18
277,red_violet,Red-Violet,#c71585,199,21,133
278,redwood,Redwood,#ab4e52,171,78,82
279,resolution_blue,Resolution Blue,#002387,0,35,135
280,rich_electric_blue,Rich Electric Blue,#0892d0,8,146,208
281,rifle_green,Rifle Green,#414833,65,72,51
282,robin_egg_blue,Robin Egg Blue,#0cc,0,204,204
283,rose_pink,Rose Pink,#f6c,255,102,204
284,royal_blue_traditional,Royal Blue (Traditional),#002366,0,35,102
285,royal_blue_web,Royal Blue (Web),#4169e1,65,105,225
286,royal_purple,Royal Purple,#7851a9,120,81,169
287,royal_yellow,Royal Yellow,#fada5e,250,218,94
288,rubine_red,Rubine Red,#d10056,209,0,86
289,ruby_red,Ruby Red,#9b111e,155,17,30
290,ruddy_pink,Ruddy Pink,#e18e96,225,142,150
291,rusty_red,Rusty Red,#da2c43,218,44,67
292,sacramento_state_green,Sacramento State Green,#00563f,0,86,63
293,safety_orange_blaze_orange,Safety Orange (Blaze Orange),#ff6700,255,103,0
294,salmon_pink,Salmon Pink,#ff91a4,255,145,164
295,sap_green,Sap Green,#507d2a,80,125,42
296,sapphire_blue,Sapphire Blue,#0067a5,0,103,165
297,school_bus_yellow,School Bus Yellow,#ffd800,255,216,0
298,screamin_green,Screamin' Green,#76ff7a,118,255,122
299,sea_blue,Sea Blue,#006994,0,105,148
300,sea_green,Sea Green,#2e8b57,46,139,87
301,selective_yellow,Selective Yellow,#ffba00,255,186,0
302,shamrock_green,Shamrock Green,#009e60,0,158,96
303,shocking_pink,Shocking Pink,#fc0fc0,252,15,192
304,shocking_pink_crayola,Shocking Pink (Crayola),#ff6fff,255,111,255
305,sky_blue,Sky Blue,#87ceeb,135,206,235
306,slate_blue,Slate Blue,#6a5acd,106,90,205
307,smalt_dark_powder_blue,Smalt (Dark Powder Blue),#039,0,51,153
308,spring_green,Spring Green,#00ff7f,0,255,127
309,st_patrick_s_blue,St. Patrick'S Blue,#23297a,35,41,122
310,steel_blue,Steel Blue,#4682b4,70,130,180
311,stil_de_grain_yellow,Stil De Grain Yellow,#fada5e,250,218,94
312,tangerine_yellow,Tangerine Yellow,#fc0,255,204,0
313,tango_pink,Tango Pink,#e4717a,228,113,122
